gt_id,pred_id,iou,tag
1,57,0.21406966,FN
2,461,0.02547836,FN
3,832,0.09254066,FN
4,308,0.060110126,FN
5,838,0.096111275,FN
6,72,0.027081814,FN
7,43,0.3478422,TP
8,691,0.065179855,FN
9,1,0.0,FN
